strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Sydney/889/2023	2023-10-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485026	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Tasmania/355/2023	2023-10-04	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485028	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Darwin/299/2023	2023-09-24	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485031	WHO Collaborating Centre for Reference and Research on Influenza	Royal Darwin Hospital
A/Brisbane/429/2023	2023-07-13	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485057	WHO Collaborating Centre for Reference and Research on Influenza	Queensland Health Forensic and Scientific Services 
A/Tasmania/366/2023	2023-10-09	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485059	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Victoria/2736/2023	2023-10-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485060	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Tuvalu/30/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485069	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza
A/Tasmania/361/2023	2023-10-06	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485077	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Victoria/2824/2023	2023-10-17	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485078	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/2560/2023	2023-07-01	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485095	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Victoria/2582/2023	2023-07-09	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485096	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
